customer_id,age,gender,total_purchase_amount,location,total_purchases,is_subscriber,preferred_size,preferred_color,preferred_shipping,used_promo_code,preferred_payment_method,average_review_rating,average_purchase_amount
40,70,Male,60,Arizona,19,True,S,Turquoise,Express,True,Credit Card,4.2,3.1578947368421053
41,69,Male,76,Louisiana,32,True,L,Beige,Next Day Air,True,Debit Card,4.6,2.375
42,67,Male,39,Alaska,41,True,M,Orange,Standard,True,Venmo,4.5,0.9512195121951219
43,20,Male,100,Tennessee,16,True,M,Beige,Free Shipping,True,PayPal,4.1,6.25
44,25,Male,69,Ohio,20,True,L,Lavender,Store Pickup,True,PayPal,3.7,3.45
45,39,Male,53,Kentucky,46,True,S,Silver,Free Shipping,True,PayPal,4.6,1.1521739130434783
46,50,Male,21,Tennessee,26,True,XL,Indigo,2-Day Shipping,True,PayPal,2.9,0.8076923076923077
47,57,Male,43,California,46,True,L,White,Store Pickup,True,Cash,2.9,0.9347826086956522
48,55,Male,54,Montana,37,True,M,Charcoal,Free Shipping,True,Cash,4.5,1.4594594594594594
49,42,Male,55,Nevada,39,True,M,Orange,Store Pickup,True,Cash,2.7,1.4102564102564104
50,68,Male,30,New Jersey,35,True,S,Indigo,Next Day Air,True,Debit Card,4.6,0.8571428571428571
51,49,Male,28,Maryland,40,True,M,Red,Store Pickup,True,Debit Card,3.7,0.7
52,59,Male,59,Vermont,8,True,XL,Gray,2-Day Shipping,True,Credit Card,4.7,7.375
53,42,Male,20,Alaska,27,True,M,Green,Free Shipping,True,Credit Card,2.6,0.7407407407407407
54,29,Male,24,Mississippi,36,True,S,Peach,Next Day Air,True,Credit Card,3.9,0.6666666666666666
55,47,Male,94,New Mexico,36,True,M,Brown,Next Day Air,True,Debit Card,4.2,2.611111111111111
56,40,Male,28,South Carolina,50,True,M,Lavender,2-Day Shipping,True,Credit Card,3.0,0.56
57,41,Male,73,Mississippi,47,True,XL,Brown,Store Pickup,True,Credit Card,4.7,1.553191489361702
58,21,Male,64,West Virginia,18,True,M,White,Store Pickup,True,Debit Card,4.4,3.5555555555555554
59,69,Male,54,Missouri,30,True,M,Charcoal,Free Shipping,True,Venmo,4.2,1.8
60,63,Male,79,Louisiana,5,True,L,Yellow,Standard,True,Debit Card,4.6,15.8
61,50,Male,37,Idaho,18,True,L,Brown,Express,True,Cash,4.0,2.0555555555555554
62,55,Male,68,Texas,22,True,M,Orange,Store Pickup,True,Credit Card,4.7,3.090909090909091
63,30,Male,21,Mississippi,32,True,S,Magenta,Free Shipping,True,Credit Card,3.8,0.65625
64,33,Male,79,Arizona,44,True,L,Lavender,2-Day Shipping,True,Credit Card,2.7,1.7954545454545454
65,65,Male,83,Alabama,19,True,S,Green,Standard,True,Debit Card,4.8,4.368421052631579
66,65,Male,36,New Jersey,45,True,M,Purple,2-Day Shipping,True,Venmo,4.8,0.8
67,31,Male,94,Pennsylvania,4,True,S,Magenta,2-Day Shipping,True,Venmo,4.7,23.5
68,45,Male,33,Connecticut,50,True,L,Gray,Store Pickup,True,Debit Card,4.4,0.66
69,57,Male,46,Utah,22,True,L,Silver,Next Day Air,True,Cash,3.9,2.090909090909091
70,48,Male,70,Tennessee,6,True,S,Cyan,Express,True,Cash,4.4,11.666666666666666
71,22,Male,29,Alabama,33,True,M,Magenta,Express,True,Debit Card,4.2,0.8787878787878788
72,36,Male,48,Virginia,35,True,L,Gold,Express,True,Bank Transfer,2.9,1.3714285714285714
73,18,Male,26,Georgia,22,True,M,Olive,Store Pickup,True,Bank Transfer,2.9,1.1818181818181819
74,48,Male,85,Hawaii,44,True,M,Teal,Free Shipping,True,Bank Transfer,2.7,1.9318181818181819
75,49,Male,58,Indiana,4,True,L,Violet,Express,True,Cash,4.5,14.5
76,64,Male,85,Utah,22,True,M,Blue,Free Shipping,True,Credit Card,2.7,3.8636363636363638
77,50,Male,43,Delaware,33,True,S,Teal,Free Shipping,True,Venmo,4.2,1.303030303030303
78,22,Male,53,Delaware,37,True,L,Gold,Next Day Air,True,Debit Card,3.3,1.4324324324324325
79,50,Male,91,Nebraska,51,True,M,Maroon,Free Shipping,True,Venmo,4.7,1.7843137254901962
80,38,Male,96,Iowa,44,True,M,Olive,2-Day Shipping,True,Bank Transfer,2.6,2.1818181818181817
81,19,Male,72,New York,25,True,XL,Blue,Store Pickup,True,Credit Card,3.3,2.88
82,67,Male,96,Virginia,37,True,L,Maroon,Express,True,Credit Card,2.6,2.5945945945945947
83,19,Male,28,Georgia,22,True,S,Olive,2-Day Shipping,True,Credit Card,4.0,1.2727272727272727
84,36,Male,40,Texas,35,True,M,Turquoise,Standard,True,Bank Transfer,4.1,1.1428571428571428
85,52,Male,32,Arizona,43,True,S,Peach,Standard,True,Bank Transfer,4.4,0.7441860465116279
86,53,Male,95,New Mexico,3,True,M,Charcoal,Next Day Air,True,Debit Card,4.5,31.666666666666668
87,24,Male,41,Nevada,48,True,L,Pink,2-Day Shipping,True,Cash,3.7,0.8541666666666666
88,52,Male,53,Ohio,45,True,M,Green,2-Day Shipping,True,Debit Card,3.7,1.1777777777777778
89,33,Male,47,Wyoming,36,True,M,Orange,Free Shipping,True,Credit Card,3.5,1.3055555555555556
90,47,Male,83,California,16,True,XL,Pink,Next Day Air,True,Cash,3.6,5.1875
91,25,Male,48,South Carolina,30,True,L,Violet,Express,True,Credit Card,2.9,1.6
92,44,Male,99,South Carolina,19,True,S,Green,Standard,True,Credit Card,4.6,5.2105263157894735
93,61,Male,87,Texas,14,True,M,Olive,2-Day Shipping,True,Venmo,4.4,6.214285714285714
94,37,Male,62,Florida,47,True,M,Purple,Standard,True,Credit Card,4.5,1.3191489361702127
95,58,Male,76,Nevada,29,True,S,Silver,Free Shipping,True,Credit Card,4.6,2.6206896551724137
96,37,Male,100,Missouri,49,True,L,Pink,Free Shipping,True,PayPal,3.8,2.0408163265306123
97,32,Male,73,Delaware,44,True,S,Gold,Express,True,Venmo,3.6,1.6590909090909092
98,21,Male,92,Virginia,38,True,M,Teal,Store Pickup,True,Cash,4.8,2.4210526315789473
99,20,Male,67,New York,21,True,XL,Teal,Next Day Air,True,Bank Transfer,2.6,3.1904761904761907
100,26,Male,40,Missouri,34,True,XL,Indigo,Express,True,Debit Card,3.7,1.1764705882352942
101,62,Male,98,South Dakota,32,True,M,Maroon,Express,True,Cash,2.7,3.0625
102,27,Male,85,North Dakota,51,True,XL,White,Express,True,Credit Card,4.6,1.6666666666666667
103,51,Male,67,Oklahoma,36,True,L,Violet,Next Day Air,True,Credit Card,4.8,1.8611111111111112
104,54,Male,89,West Virginia,23,True,L,Red,Next Day Air,True,Venmo,4.0,3.869565217391304
105,55,Male,24,New Hampshire,2,True,L,Pink,2-Day Shipping,True,PayPal,4.4,12.0
106,69,Male,96,New York,5,True,M,Charcoal,Next Day Air,True,Bank Transfer,3.6,19.2
107,64,Male,35,Minnesota,32,True,L,White,Standard,True,Credit Card,3.7,1.09375
108,28,Male,67,Maryland,47,True,L,Olive,Next Day Air,True,PayPal,3.1,1.425531914893617
109,70,Male,79,Montana,33,True,L,Purple,Next Day Air,True,Bank Transfer,3.4,2.393939393939394
110,58,Male,85,Alabama,44,True,M,Violet,Next Day Air,True,Bank Transfer,2.6,1.9318181818181819
111,56,Male,26,New York,27,True,M,Black,Standard,True,Venmo,4.0,0.9629629629629629
112,26,Male,75,Massachusetts,10,True,L,Purple,Free Shipping,True,Credit Card,5.0,7.5
113,37,Male,65,Florida,29,True,M,Red,Free Shipping,True,PayPal,4.3,2.2413793103448274
114,44,Male,54,New Jersey,21,True,L,Maroon,Next Day Air,True,PayPal,3.1,2.5714285714285716
115,70,Male,95,Massachusetts,10,True,S,Blue,Store Pickup,True,Cash,3.7,9.5
116,53,Male,94,Wyoming,49,True,M,Gray,Standard,True,Debit Card,3.8,1.9183673469387754
117,55,Male,86,Virginia,13,True,S,Blue,Free Shipping,True,Venmo,3.4,6.615384615384615
118,50,Male,32,South Dakota,30,True,L,Yellow,Express,True,Cash,4.6,1.0666666666666667
119,50,Male,45,Kentucky,28,True,L,Orange,2-Day Shipping,True,Cash,4.8,1.6071428571428572
120,38,Male,76,Wyoming,45,True,M,Orange,Express,True,Cash,4.3,1.6888888888888889
121,64,Male,84,West Virginia,33,True,L,Red,Express,True,Bank Transfer,4.0,2.5454545454545454
122,19,Male,72,Virginia,12,True,M,Olive,Standard,True,Cash,4.2,6.0
123,40,Male,40,Washington,45,True,L,Brown,2-Day Shipping,True,Cash,4.8,0.8888888888888888
124,57,Male,89,Louisiana,47,True,L,Brown,Free Shipping,True,Cash,3.1,1.8936170212765957
125,44,Male,86,Nevada,51,True,M,Gray,Next Day Air,True,PayPal,3.1,1.6862745098039216
126,49,Male,54,California,46,True,M,Indigo,Next Day Air,True,Venmo,3.6,1.173913043478261
127,43,Male,36,Mississippi,49,True,L,Pink,Store Pickup,True,Cash,3.9,0.7346938775510204
128,24,Male,89,Mississippi,27,True,M,Gray,Next Day Air,True,Credit Card,4.8,3.2962962962962963
129,20,Male,32,California,22,True,M,Gold,Standard,True,Credit Card,4.7,1.4545454545454546
130,24,Male,67,Pennsylvania,50,True,XL,Olive,2-Day Shipping,True,PayPal,4.2,1.34
131,44,Male,39,Kentucky,14,True,L,Violet,Next Day Air,True,PayPal,3.7,2.7857142857142856
132,28,Male,29,Maine,47,True,L,Indigo,Standard,True,Credit Card,3.9,0.6170212765957447
133,30,Male,58,New Mexico,43,True,M,Orange,2-Day Shipping,True,PayPal,4.7,1.3488372093023255
134,52,Male,65,Montana,26,True,M,Violet,Next Day Air,True,Venmo,2.5,2.5
135,43,Male,94,Texas,26,True,L,Gray,Store Pickup,True,Cash,4.9,3.6153846153846154
136,43,Male,81,Kansas,13,True,M,Purple,Express,True,PayPal,4.1,6.230769230769231
137,39,Male,86,South Carolina,5,True,M,White,Free Shipping,True,Debit Card,3.3,17.2
138,68,Male,43,Colorado,39,True,M,Turquoise,Free Shipping,True,PayPal,4.7,1.1025641025641026
139,68,Male,29,Georgia,43,True,M,Maroon,Store Pickup,True,Bank Transfer,4.4,0.6744186046511628
140,49,Male,95,Florida,31,True,M,White,Store Pickup,True,Venmo,3.8,3.064516129032258
141,63,Male,28,North Carolina,51,True,L,Yellow,2-Day Shipping,True,Credit Card,3.9,0.5490196078431373
142,56,Male,46,Virginia,46,True,M,Turquoise,Free Shipping,True,PayPal,4.9,1.0
143,37,Male,58,Nebraska,34,True,L,Violet,Free Shipping,True,Credit Card,3.1,1.7058823529411764
144,30,Male,48,Missouri,26,True,M,Beige,Store Pickup,True,PayPal,2.7,1.8461538461538463
145,19,Male,43,New Jersey,26,True,M,Silver,Express,True,Cash,3.2,1.6538461538461537
146,24,Male,95,Missouri,45,True,M,Teal,Standard,True,Debit Card,4.5,2.111111111111111
147,52,Male,30,Colorado,22,True,S,Black,Standard,True,Venmo,4.0,1.3636363636363635
148,63,Male,64,Idaho,32,True,M,Purple,2-Day Shipping,True,Bank Transfer,3.5,2.0
149,37,Male,90,Wyoming,48,True,M,Gray,Store Pickup,True,Debit Card,2.6,1.875
150,38,Male,76,Delaware,15,True,M,White,Free Shipping,True,PayPal,3.2,5.066666666666666
151,35,Male,96,California,18,True,L,Cyan,Standard,True,Debit Card,4.9,5.333333333333333
152,28,Male,47,North Dakota,4,True,L,Turquoise,Next Day Air,True,Venmo,4.5,11.75
153,30,Male,85,South Carolina,43,True,S,Brown,Express,True,Venmo,4.3,1.9767441860465116
154,69,Male,55,North Carolina,23,True,M,Maroon,Standard,True,Debit Card,3.2,2.391304347826087
155,41,Male,98,Oklahoma,22,True,M,Charcoal,Next Day Air,True,Venmo,3.6,4.454545454545454
156,63,Male,77,Maine,22,True,S,Olive,Free Shipping,True,Bank Transfer,4.3,3.5
157,35,Male,26,Missouri,41,True,M,Lavender,Standard,True,Debit Card,4.0,0.6341463414634146
158,36,Male,68,Vermont,2,True,S,Yellow,Next Day Air,True,Bank Transfer,3.0,34.0
159,25,Male,73,Connecticut,51,True,XL,Teal,Standard,True,Bank Transfer,4.1,1.4313725490196079
160,58,Male,27,New Hampshire,40,True,M,Charcoal,Store Pickup,True,Bank Transfer,3.8,0.675
161,27,Male,23,Texas,35,True,M,Orange,Free Shipping,True,Venmo,4.6,0.6571428571428571
162,65,Male,49,North Dakota,30,True,M,Olive,Express,True,Venmo,3.0,1.6333333333333333
163,54,Male,74,California,32,True,M,Turquoise,Store Pickup,True,PayPal,3.0,2.3125
164,54,Male,67,Virginia,9,True,M,Purple,Standard,True,Debit Card,3.4,7.444444444444445
165,59,Male,65,Delaware,6,True,S,Purple,Free Shipping,True,Credit Card,2.6,10.833333333333334
166,42,Male,60,Kentucky,8,True,S,Yellow,Store Pickup,True,Cash,2.8,7.5
167,46,Male,31,Delaware,31,True,XL,Indigo,Store Pickup,True,Cash,4.0,1.0
168,33,Male,27,Arkansas,15,True,M,Green,Express,True,Credit Card,4.0,1.8
169,34,Male,80,Louisiana,6,True,M,Magenta,Express,True,Cash,3.0,13.333333333333334
170,27,Male,30,Nevada,4,True,S,Gold,Standard,True,PayPal,3.3,7.5
171,52,Male,25,Wyoming,47,True,M,Maroon,Store Pickup,True,Venmo,2.6,0.5319148936170213
172,29,Male,35,Virginia,5,True,M,Blue,Store Pickup,True,Credit Card,3.6,7.0
173,54,Male,67,Nebraska,43,True,M,Violet,Next Day Air,True,Credit Card,3.9,1.558139534883721
174,25,Male,46,Hawaii,31,True,M,Turquoise,Standard,True,Cash,3.4,1.4838709677419355
175,41,Male,35,Vermont,38,True,L,Brown,Express,True,Venmo,3.5,0.9210526315789473
176,53,Male,86,Oklahoma,3,True,L,Violet,Next Day Air,True,Bank Transfer,2.8,28.666666666666668
177,53,Male,81,New Hampshire,31,True,L,Black,Next Day Air,True,Credit Card,2.7,2.6129032258064515
178,21,Male,42,Kansas,48,True,L,Magenta,Next Day Air,True,Bank Transfer,3.7,0.875
179,61,Male,43,Idaho,22,True,L,Lavender,2-Day Shipping,True,PayPal,4.3,1.9545454545454546
180,64,Male,31,Illinois,10,True,M,Violet,Store Pickup,True,Bank Transfer,4.9,3.1
181,51,Male,81,South Dakota,13,True,L,Green,Store Pickup,True,Debit Card,3.3,6.230769230769231
182,32,Male,61,Massachusetts,5,True,M,Beige,Next Day Air,True,Bank Transfer,4.7,12.2
183,38,Male,96,Alabama,11,True,XL,Purple,Store Pickup,True,Debit Card,2.8,8.727272727272727
184,58,Male,29,Ohio,27,True,XL,Beige,2-Day Shipping,True,Credit Card,3.6,1.0740740740740742
185,32,Male,33,Hawaii,41,True,L,Cyan,Express,True,Cash,3.0,0.8048780487804879
186,46,Male,32,Wisconsin,35,True,XL,Silver,Store Pickup,True,Bank Transfer,4.5,0.9142857142857143
187,39,Male,56,Minnesota,32,True,S,Lavender,Standard,True,Debit Card,2.9,1.75
188,19,Male,94,Georgia,2,True,S,Purple,Store Pickup,True,Bank Transfer,3.3,47.0
189,50,Male,53,Arkansas,6,True,M,Pink,Express,True,Bank Transfer,3.1,8.833333333333334
190,36,Male,82,West Virginia,5,True,M,Maroon,Next Day Air,True,Credit Card,4.4,16.4
191,65,Male,70,Indiana,49,True,XL,Beige,Free Shipping,True,Venmo,3.0,1.4285714285714286
192,64,Male,76,Utah,30,True,M,Gray,Free Shipping,True,Cash,3.9,2.533333333333333
193,46,Male,29,Nebraska,13,True,L,Turquoise,Express,True,PayPal,2.9,2.230769230769231
194,36,Male,100,North Dakota,30,True,S,Silver,Standard,True,Venmo,3.0,3.3333333333333335
195,51,Male,94,Missouri,16,True,M,Olive,Express,True,Debit Card,3.1,5.875
196,51,Male,25,New York,35,True,M,Magenta,Free Shipping,True,Credit Card,4.3,0.7142857142857143
197,38,Male,88,Washington,42,True,M,Lavender,Next Day Air,True,Credit Card,3.9,2.0952380952380953
198,59,Male,78,South Carolina,42,True,M,Black,2-Day Shipping,True,Credit Card,3.2,1.8571428571428572
199,57,Male,45,Utah,40,True,M,Turquoise,Standard,True,Credit Card,4.8,1.125
200,54,Male,73,Idaho,33,True,XL,Green,Express,True,Cash,3.8,2.212121212121212
201,25,Male,61,Pennsylvania,30,True,S,Teal,Next Day Air,True,Venmo,3.3,2.033333333333333
202,69,Male,22,Missouri,16,True,S,Beige,Free Shipping,True,Bank Transfer,4.3,1.375
203,57,Male,38,Nebraska,34,True,L,Magenta,Express,True,Venmo,2.7,1.1176470588235294
204,70,Male,38,Indiana,19,True,S,Yellow,Next Day Air,True,Bank Transfer,3.2,2.0
205,24,Male,100,Arizona,36,True,M,Yellow,Store Pickup,True,Cash,4.0,2.7777777777777777
206,67,Male,64,Hawaii,26,True,M,Silver,Standard,True,PayPal,3.0,2.4615384615384617
207,24,Male,55,Wisconsin,7,True,L,Silver,Free Shipping,True,Venmo,4.2,7.857142857142857
208,62,Male,91,Rhode Island,18,True,M,Silver,Express,True,Bank Transfer,2.9,5.055555555555555
209,57,Male,38,Wisconsin,18,True,M,Gold,Store Pickup,True,Credit Card,4.1,2.111111111111111
210,55,Male,97,Minnesota,45,True,S,Olive,Store Pickup,True,Cash,3.2,2.1555555555555554
211,45,Male,22,Vermont,7,True,L,Teal,2-Day Shipping,True,PayPal,3.0,3.142857142857143
212,69,Male,92,South Dakota,46,True,L,Maroon,2-Day Shipping,True,Debit Card,4.2,2.0
213,67,Male,84,Virginia,8,True,L,Blue,Express,True,Debit Card,4.2,10.5
214,30,Male,93,Nevada,12,True,L,Peach,Store Pickup,True,Debit Card,4.4,7.75
215,24,Male,50,Hawaii,42,True,L,Blue,Next Day Air,True,Cash,4.2,1.1904761904761905
216,62,Male,64,New Jersey,25,True,S,Orange,2-Day Shipping,True,PayPal,2.8,2.56
217,43,Male,61,Massachusetts,22,True,L,Yellow,Free Shipping,True,Venmo,3.7,2.772727272727273
218,35,Male,48,Oklahoma,25,True,M,Purple,Next Day Air,True,Bank Transfer,3.5,1.92
219,28,Male,45,California,9,True,S,Magenta,Store Pickup,True,Credit Card,2.9,5.0
220,32,Male,88,Nevada,13,True,M,Cyan,Free Shipping,True,Cash,3.0,6.769230769230769
221,39,Male,57,Arizona,49,True,S,Indigo,Express,True,Debit Card,3.7,1.163265306122449
222,28,Male,68,North Carolina,7,True,XL,Magenta,Store Pickup,True,Bank Transfer,4.4,9.714285714285714
223,47,Male,94,New York,15,True,XL,Gray,2-Day Shipping,True,PayPal,4.5,6.266666666666667
224,20,Male,41,Wyoming,35,True,M,Turquoise,Free Shipping,True,PayPal,4.8,1.1714285714285715
225,63,Male,83,South Dakota,13,True,S,Beige,Free Shipping,True,Cash,2.9,6.384615384615385
226,25,Male,22,Arkansas,12,True,M,Olive,Next Day Air,True,Bank Transfer,3.2,1.8333333333333333
227,29,Male,74,Texas,6,True,L,Violet,Free Shipping,True,PayPal,3.3,12.333333333333334
228,50,Male,90,Rhode Island,26,True,M,Turquoise,Standard,True,Venmo,4.2,3.4615384615384617
229,18,Male,79,New Hampshire,12,True,M,White,Store Pickup,True,Credit Card,2.9,6.583333333333333
230,70,Male,28,Ohio,28,True,S,Silver,Next Day Air,True,PayPal,4.6,1.0
231,66,Male,88,Utah,44,True,L,Olive,Standard,True,Credit Card,4.1,2.0
232,28,Male,26,Tennessee,19,True,M,Blue,2-Day Shipping,True,Debit Card,3.1,1.368421052631579
233,54,Male,27,Hawaii,33,True,L,Purple,Express,True,Bank Transfer,4.2,0.8181818181818182
234,19,Male,83,Arizona,28,True,XL,Yellow,Next Day Air,True,Bank Transfer,4.5,2.9642857142857144
235,20,Male,39,South Dakota,25,True,S,Silver,Next Day Air,True,Credit Card,3.7,1.56
236,43,Male,89,New Jersey,32,True,M,Cyan,Free Shipping,True,Debit Card,3.7,2.78125
237,38,Male,68,North Dakota,40,True,L,Green,Next Day Air,True,PayPal,3.4,1.7
238,50,Male,90,Iowa,37,True,M,Beige,Store Pickup,True,Debit Card,3.0,2.4324324324324325
239,64,Male,34,Ohio,6,True,M,Peach,Free Shipping,True,Cash,4.2,5.666666666666667
240,49,Male,51,Vermont,48,True,L,Yellow,Express,True,Credit Card,2.9,1.0625
241,47,Male,45,Montana,30,True,XL,Turquoise,Free Shipping,True,Bank Transfer,3.5,1.5
242,36,Male,88,Delaware,44,True,M,Peach,Free Shipping,True,Venmo,4.1,2.0
243,55,Male,85,New York,41,True,L,Gray,Store Pickup,True,Debit Card,4.3,2.073170731707317
244,25,Male,100,Kentucky,5,True,M,Olive,2-Day Shipping,True,Debit Card,2.8,20.0
245,53,Male,42,Oregon,40,True,S,Indigo,2-Day Shipping,True,PayPal,4.9,1.05
246,49,Male,53,Rhode Island,46,True,L,Charcoal,Next Day Air,True,Venmo,3.3,1.1521739130434783
247,35,Male,86,Nevada,21,True,XL,Beige,Express,True,Venmo,3.2,4.095238095238095
248,29,Male,66,Montana,15,True,XL,Brown,Standard,True,Debit Card,4.4,4.4
249,47,Male,100,Pennsylvania,34,True,M,Blue,Express,True,PayPal,4.8,2.9411764705882355
250,53,Male,47,Alaska,19,True,S,Teal,Standard,True,Credit Card,4.2,2.473684210526316
251,33,Male,25,Mississippi,10,True,L,Black,Express,True,Bank Transfer,4.0,2.5
252,21,Male,51,Wyoming,35,True,XL,Gold,Standard,True,PayPal,2.5,1.457142857142857
253,32,Male,41,Delaware,34,True,M,Violet,Free Shipping,True,Venmo,3.9,1.2058823529411764
254,52,Male,73,Oklahoma,16,True,L,Cyan,2-Day Shipping,True,Bank Transfer,4.9,4.5625
255,67,Male,42,Indiana,5,True,M,White,Store Pickup,True,PayPal,3.5,8.4
256,43,Male,20,Maryland,26,True,M,Charcoal,Free Shipping,True,Debit Card,4.2,0.7692307692307693
257,58,Male,30,South Dakota,21,True,XL,Violet,Express,True,Credit Card,4.7,1.4285714285714286
258,20,Male,53,West Virginia,6,True,M,Red,Express,True,Credit Card,4.5,8.833333333333334
259,61,Male,74,Alabama,17,True,S,Lavender,Express,True,Cash,2.8,4.352941176470588
260,32,Male,57,Louisiana,14,True,M,Gold,Standard,True,Debit Card,2.9,4.071428571428571
261,38,Male,57,Montana,12,True,S,Red,2-Day Shipping,True,Credit Card,3.2,4.75
262,21,Male,77,California,22,True,L,Magenta,Standard,True,Credit Card,4.9,3.5
263,37,Male,40,Hawaii,7,True,M,Teal,Next Day Air,True,Debit Card,3.7,5.714285714285714
264,27,Male,46,Iowa,30,True,M,Purple,Store Pickup,True,Venmo,4.3,1.5333333333333334
265,36,Male,78,Colorado,16,True,S,Charcoal,Store Pickup,True,Cash,3.9,4.875
266,32,Male,59,Michigan,18,True,M,Gray,2-Day Shipping,True,Bank Transfer,3.2,3.2777777777777777
267,51,Male,75,Louisiana,33,True,L,White,Express,True,Credit Card,3.1,2.272727272727273
268,64,Male,54,Maryland,43,True,M,Olive,2-Day Shipping,True,Venmo,3.9,1.255813953488372
269,68,Male,42,Georgia,22,True,M,Charcoal,Store Pickup,True,Cash,2.6,1.9090909090909092
270,68,Male,44,Georgia,10,True,M,Charcoal,Next Day Air,True,Cash,3.3,4.4
271,33,Male,52,North Dakota,17,True,XL,Orange,Free Shipping,True,Bank Transfer,4.6,3.0588235294117645
272,65,Male,69,Maryland,43,True,XL,Yellow,Express,True,Credit Card,4.6,1.6046511627906976
273,48,Male,26,Oregon,38,True,M,Beige,2-Day Shipping,True,Debit Card,4.4,0.6842105263157895
274,69,Male,33,North Dakota,33,True,S,Silver,Express,True,Debit Card,4.2,1.0
275,59,Male,32,Maryland,29,True,M,Indigo,Express,True,Cash,3.0,1.103448275862069
276,48,Male,85,Virginia,14,True,XL,Lavender,Express,True,Credit Card,4.0,6.071428571428571
277,25,Male,30,South Dakota,12,True,XL,Turquoise,Express,True,Bank Transfer,3.5,2.5
278,29,Male,29,Georgia,37,True,M,Green,Store Pickup,True,Bank Transfer,3.0,0.7837837837837838
